statecurrent,inmidwest,midwesterner,statebirth,ideology,partyregaff,age,race,votehistory,education,gender,zip,weight,income,householdsize
AR,1,1,CT,Conservative,Independent/Other,40-49,White or Caucasian,Joe Biden,Vocational/Technical School,Female,72386,0.6106482019875169,41291.12797789276,1
AR,1,1,AR,Liberal,Not registered to vote,18-24,White or Caucasian,Joe Biden,High School or Less,Male,72364,1.3917590992898488,118593.38535461575,4
AR,0,0,AR,Moderate,Democrat,18-24,Black or African American,Did not vote,High School or Less,Female,72335,1.1761867953146572,75135.8508458361,3
AR,0,0,AR,Liberal,Democrat,40-49,Black or African American,Joe Biden,Postgraduate or Higher,Female,72335,1.5654143261446138,36302.189379930496,4
AR,0,0,AR,Conservative,Republican,30-39,White or Caucasian,Donald Trump,Associate's Degree/Some College,Male,72315,1.902071422319548,94069.98422695324,2
AR,0,0,NY,Moderate,Republican,18-24,White or Caucasian,Did not vote,Postgraduate or Higher,Male,72301,1.1652813570229121,68401.60881401971,6
AR,0,0,TN,Moderate,Independent/Other,30-39,White or Caucasian,Someone else,Associate's Degree/Some College,Female,72301,0.32874436613631114,59979.84014218673,2
AR,0,0,AR,Moderate,Democrat,30-39,Black or African American,Did not vote,High School or Less,Male,72223,1.7469000867893043,104237.17081546783,3
AR,0,0,AR,Moderate,Republican,40-49,White or Caucasian,Donald Trump,College Degree,Female,72223,0.9119216909888316,42863.34730917588,5
AR,0,0,IL,Moderate,Republican,40-49,White or Caucasian,Donald Trump,Postgraduate or Higher,Female,72223,0.6707563994263545,63902.527841273695,3
AR,0,0,AR,Moderate,Not registered to vote,30-39,White or Caucasian,Did not vote,Associate's Degree/Some College,Female,72212,0.6964824460998733,79261.29311323166,1
AR,1,1,AR,Conservative,Republican,30-39,White or Caucasian,Donald Trump,Associate's Degree/Some College,Male,72212,1.902071422319548,74896.6855648905,5
AR,0,0,CA,Liberal,Democrat,30-39,White or Caucasian,Joe Biden,Vocational/Technical School,Male,72212,0.5192744076361352,44025.95812221989,3
AR,1,0,AR,Liberal,Democrat,40-49,White or Caucasian,Joe Biden,Postgraduate or Higher,Male,72211,0.8225504735920233,21164.353324566036,1
AR,0,0,AR,Conservative,Republican,30-39,White or Caucasian,Someone else,College Degree,Male,72211,0.21982189835299337,81196.81112235412,3
AR,1,1,AR,Liberal,Republican,25-29,Asian,Donald Trump,High School or Less,Male,72211,6.39077255634442,74771.64882933721,6
AR,0,0,AR,Liberal,Independent/Other,25-29,White or Caucasian,Joe Biden,Postgraduate or Higher,Male,72211,2.3261712586633703,98919.73624238744,5
AR,0,0,SC,Liberal,Democrat,50-59,White or Caucasian,Joe Biden,College Degree,Male,72211,0.9452782955583506,59623.75101400539,2
AR,0,0,LA,Conservative,Democrat,40-49,Black or African American,Joe Biden,Associate's Degree/Some College,Male,72209,2.725328747269888,108625.8743610233,3
AR,0,0,AR,Conservative,Republican,30-39,White or Caucasian,Donald Trump,Associate's Degree/Some College,Male,72206,1.902071422319548,48415.172384120524,1
AR,0,0,NJ,Moderate,Democrat,30-39,Black or African American,Joe Biden,College Degree,Female,72205,3.645651730021212,62760.28134627268,2
AR,0,0,NY,Liberal,Not registered to vote,40-49,White or Caucasian,Joe Biden,College Degree,Male,72205,1.1387628957178524,115111.59184621647,4
AR,0,0,TX,Conservative,Republican,50-59,White or Caucasian,Donald Trump,Associate's Degree/Some College,Male,72205,1.997538966483528,88845.90812027454,4
AR,0,0,AR,Liberal,Not registered to vote,30-39,Black or African American,Did not vote,High School or Less,Female,72204,1.4002960568318457,57772.60372415185,1
AR,1,1,AR,Liberal,Democrat,18-24,Black or African American,Donald Trump,Associate's Degree/Some College,Female,72202,0.580548292039532,19670.009745750576,5
AR,0,1,AR,Conservative,Republican,30-39,White or Caucasian,Donald Trump,Associate's Degree/Some College,Male,72176,1.902071422319548,109658.48459629342,5
AR,0,0,AR,Moderate,Independent/Other,50-59,White or Caucasian,Did not vote,High School or Less,Male,72173,1.6305859365198945,101513.37607298046,6
AR,0,0,AR,Moderate,Not registered to vote,25-29,White or Caucasian,Donald Trump,High School or Less,Female,72153,2.3008724075696274,10643.828217871487,2
AR,0,0,AR,Conservative,Republican,30-39,White or Caucasian,Donald Trump,High School or Less,Male,72150,3.558678441653823,53553.322264924645,6
AR,0,0,AR,Conservative,Independent/Other,30-39,White or Caucasian,Donald Trump,High School or Less,Male,72143,3.8389285646066043,29348.23556803167,1
AR,1,1,AR,Moderate,Democrat,18-24,Black or African American,Joe Biden,High School or Less,Female,72142,1.6328148941222322,62739.286271389574,5
AR,0,0,AR,Moderate,Independent/Other,40-49,White or Caucasian,Did not vote,Associate's Degree/Some College,Female,72134,0.6753198103559229,37913.71343191713,3
AR,0,0,AR,Moderate,Independent/Other,25-29,White or Caucasian,Did not vote,High School or Less,Female,72129,1.1058453572009501,90483.20000292733,6
AR,0,0,AR,Liberal,Independent/Other,70 or more years,White or Caucasian,Joe Biden,Associate's Degree/Some College,Male,72125,0.5102830747964997,111634.16507653892,1
AR,1,0,AR,Moderate,Republican,18-24,Black or African American,Donald Trump,High School or Less,Female,72120,1.257849645730533,88891.92765578628,6
AR,0,0,MO,Liberal,Independent/Other,30-39,White or Caucasian,Did not vote,High School or Less,Female,72120,0.8830161047002202,78952.0894153975,5
AR,0,0,AR,Moderate,Republican,25-29,White or Caucasian,Did not vote,College Degree,Male,72118,0.7438601537501931,86774.25963105634,1
AR,0,0,AR,Liberal,Independent/Other,30-39,Other or Multiple Races,Joe Biden,Vocational/Technical School,Female,72117,2.0736560316978006,90255.30848884955,5
AR,0,0,AR,Conservative,Republican,40-49,Hispanic or Latino,Did not vote,Associate's Degree/Some College,Female,72116,2.3387952104276515,119040.49954842776,1
AR,1,1,AR,Moderate,Independent/Other,40-49,White or Caucasian,Joe Biden,College Degree,Male,72116,1.3532248017899435,86052.54098540172,1
AR,0,0,DC,Conservative,Republican,30-39,Asian,Someone else,College Degree,Female,72116,0.3991487975573418,37995.06733659655,4
AR,0,0,NJ,Conservative,Independent/Other,30-39,White or Caucasian,Donald Trump,College Degree,Male,72113,0.952118763286938,110379.24604257569,2
AR,0,0,WV,Moderate,Democrat,18-24,Black or African American,Did not vote,High School or Less,Female,72113,1.1761867953146572,91273.69785681367,6
AR,1,1,AR,Moderate,Independent/Other,18-24,White or Caucasian,Donald Trump,College Degree,Male,72110,1.2400150171775917,92530.62612842768,6
AR,0,0,AR,Conservative,Not registered to vote,18-24,White or Caucasian,Did not vote,High School or Less,Male,72110,1.7016664365764516,14830.328326206654,4
AR,0,0,AR,Liberal,Democrat,70 or more years,White or Caucasian,Joe Biden,Postgraduate or Higher,Female,72110,0.1749953472213223,49776.52174886316,3
AR,0,0,TX,Conservative,Republican,30-39,White or Caucasian,Did not vote,Vocational/Technical School,Male,72110,0.9675924933402705,76610.95844116062,3
AR,0,0,AR,Moderate,Democrat,40-49,Black or African American,Did not vote,High School or Less,Female,72104,0.7368908305936877,96024.53238097951,5
AR,0,0,AR,Conservative,Republican,18-24,White or Caucasian,Did not vote,Associate's Degree/Some College,Female,72086,0.9992205413167707,117105.47448135912,6
AR,0,0,NA,Moderate,Democrat,30-39,Black or African American,Someone else,Postgraduate or Higher,Male,72076,0.3764435804262928,12524.982122704387,1
AR,0,1,LA,Liberal,Democrat,30-39,White or Caucasian,Joe Biden,High School or Less,Male,72076,0.6892057009575234,50449.253525584936,1
AR,0,0,VA,Moderate,Independent/Other,30-39,White or Caucasian,Did not vote,NA,Female,72065,NA,101799.52149512246,1
AR,0,0,AR,Liberal,Democrat,18-24,White or Caucasian,Someone else,College Degree,Female,72058,0.21224480142643531,111095.01619124785,2
AR,1,0,AR,Conservative,Not registered to vote,40-49,Black or African American,Did not vote,High School or Less,Male,72039,2.2100908557570866,91364.33524312451,3
AR,0,0,AR,Moderate,Democrat,40-49,White or Caucasian,Joe Biden,College Degree,Female,72034,0.9299914425167205,96283.29791594297,5
AR,0,0,AR,Conservative,Republican,40-49,White or Caucasian,Donald Trump,High School or Less,Male,72034,2.903697838831473,29913.618308492005,2
AR,0,0,AR,Moderate,Independent/Other,18-24,White or Caucasian,Did not vote,Associate's Degree/Some College,Female,72034,1.077910337023862,57597.59041946381,1
AR,0,1,KS,Liberal,Democrat,40-49,White or Caucasian,Joe Biden,Associate's Degree/Some College,Male,72034,0.7745314163347503,13521.93467086181,3
AR,0,1,AR,Moderate,Republican,18-24,White or Caucasian,Did not vote,Associate's Degree/Some College,Female,72032,0.9992205413167707,43498.0565472506,4
AR,0,0,AR,Moderate,Independent/Other,50-59,White or Caucasian,Donald Trump,Vocational/Technical School,Male,72032,2.5230914862185005,44019.16570495814,1
AR,0,0,AR,Moderate,Republican,40-49,White or Caucasian,Donald Trump,Associate's Degree/Some College,Male,72032,1.5519920579634214,108421.78856488317,3
AR,0,0,TX,Conservative,Republican,50-59,White or Caucasian,Donald Trump,High School or Less,Female,72031,2.1254483626293887,11701.314700767398,6
AR,0,0,AK,Liberal,Democrat,40-49,White or Caucasian,Joe Biden,Associate's Degree/Some College,Female,72023,0.6496788088840988,50938.829272054136,2
AR,1,1,AR,Conservative,Republican,30-39,White or Caucasian,Joe Biden,High School or Less,Female,72023,0.6694790288619059,29143.750618677586,2
AR,0,0,AR,Moderate,Not registered to vote,25-29,White or Caucasian,Did not vote,Associate's Degree/Some College,Female,72023,0.8722399005995319,24412.84573636949,4
AR,0,0,AR,Moderate,Republican,50-59,White or Caucasian,Donald Trump,Associate's Degree/Some College,Male,72023,1.997538966483528,21925.38091680035,5
AR,0,0,AR,Moderate,Independent/Other,30-39,White or Caucasian,Donald Trump,Vocational/Technical School,Female,72022,1.879230361146126,35470.88070306927,6
AR,1,1,AR,Moderate,Independent/Other,25-29,White or Caucasian,Donald Trump,College Degree,Male,72022,1.1923860825191002,40391.02690294385,6
AR,0,0,AR,Liberal,Democrat,18-24,White or Caucasian,Did not vote,High School or Less,Non Binary/Other,72019,0.9447782394908305,54105.49555672333,4
AR,0,0,AR,Conservative,Republican,50-59,White or Caucasian,Donald Trump,Vocational/Technical School,Female,72019,1.829477936986714,57441.6102305986,5
AR,0,1,CO,Liberal,Democrat,18-24,White or Caucasian,Joe Biden,Associate's Degree/Some College,Female,72019,1.0369835048559233,23813.56332451105,5
AR,0,0,AR,Moderate,Not registered to vote,18-24,White or Caucasian,Did not vote,High School or Less,Male,72017,1.7016664365764516,32298.775305971503,2
AR,0,0,AR,Moderate,Democrat,50-59,White or Caucasian,Did not vote,High School or Less,Female,72017,0.503293168729616,89891.80005388334,3
AR,0,0,AR,Moderate,Independent/Other,25-29,White or Caucasian,Did not vote,High School or Less,Female,72015,1.1058453572009501,55894.279901403934,2
AR,1,0,AR,Conservative,Republican,30-39,White or Caucasian,Donald Trump,Associate's Degree/Some College,Female,72015,1.5954620690698569,28281.091498211026,5
AR,1,1,AR,Moderate,Democrat,30-39,White or Caucasian,Joe Biden,High School or Less,Male,72012,0.6892057009575234,70535.2592561394,1
AR,1,1,AR,Moderate,Not registered to vote,18-24,Black or African American,Donald Trump,High School or Less,Female,72010,1.141861353307831,74209.79569433257,2
AR,0,0,AR,Moderate,Republican,30-39,White or Caucasian,Donald Trump,High School or Less,Female,72007,2.0238676982057133,45330.846323631704,4
AR,1,1,AR,Conservative,Republican,25-29,White or Caucasian,Donald Trump,Associate's Degree/Some College,Female,72007,1.9980771724091106,95009.08721936867,2
